Job-Title,Agency,Post-Level,Location,Deadline,Category,Job-Link
* Project Climate Change Officer,UNDP,NPSA-8,"Dushanbe, Tajikistan","Mar-4-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16431
Internship – Climate and Environment Team (6 Openings),UNDP,Intern,"Colombo,  SRI LANKA                     ","Mar-5-24
",External,cj_view_job.cfm?cur_job_id=115429
* Project Technical Officer,UNDP,NPSA-9,"Nuku'Alofa, Tonga","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16498
* Monitoring & Evaluation Officer,UNDP,NPSA-9,"Nuku'Alofa, Tonga","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16444
* Project Manager,UNDP,NPSA-10,"Nuku'Alofa, Tonga","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16505
* Regional Technical Specialist for Climate Change Mitigation and Energy,UNDP,P4,"Amman, Jordan","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16352
* Project Analyst - Resilient Water Supply,UNDP,NPSA-9,"Maputo, Mozambique","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16412
* National Project Manager,UNDP,NPSA-10,"Accra, Ghana","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16428
* Project Coordinator - SIDS,UNDP,NPSA-8,"St. John's, Antigua and Barbuda","Mar-5-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16519
* Project Finance Associate,UNDP,NPSA-7,"Manila, Philippines","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16663
* Project Officer,UNDP,NPSA-8,"Beirut, Lebanon","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16537
* Analista de Coordinación Binacional Proyecto Humboldt II,UNDP,NPSA-9,"Valparaiso, Chile","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16529
* Project Associate - NPSA 6,UNDP,NPSA-6,"Yerevan, Armenia","Mar-6-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16497
* Project Coordinator,UNDP,NPSA-9,"Vientiane, Lao People's Democratic Republic","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16362
* Programme Associate,UNDP,G6,"New York, United States","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16576
"* Protected Areas Associate (Part time, 80%) DS: Gjirokaster / Vlore / Fier",UNDP,NPSA-7,Albania,"Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16536
* Project Manager,UNDP,NPSA-10,"Chisinau, Moldova","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16019
* Project Associate,UNDP,NPSA-7,"Chisinau, Moldova","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16534
* Water Management Analyst,UNDP,NPSA-8,"Ashkhabad, Turkmenistan","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16533
* Project Climate Finance Officer,UNDP,NPSA-8,"Dushanbe, Tajikistan","Mar-7-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16508
* Communication Analyst,UNDP,NPSA-8,"Chisinau, Moldova","Mar-8-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16408
* Auxiliar en Administración de Base de Datos,UNDP,NPSA-4,"Panama City, Panama","Mar-9-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16002
* Project Manager NPSA 10-NCE - AIM-WELL : Algérie Gestion intégrée de l'énergie des déchets au niveau local,UNDP,NPSA-10,"Algiers, Algeria","Mar-9-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16617
* Project Procurement Associate,UNDP,NPSA-6,"Skopje, North Macedonia","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16597
* Programme Coordinator,UNDP,SB5,"Abidjan, Cote d'Ivoire","Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16620
* Project Manager (Home-Based),UNDP,IPSA-11,Home Based,"Mar-10-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16581
* Adaptive Livelihood Analyst,UNDP,NPSA-9,"Khulna, Bangladesh","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16609
* Project Analyst,UNDP,NPSA-8,"Chisinau, Moldova","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15828
* Civil Engineering Manager,UNDP,IPSA-11,"Copenhagen, Denmark","Mar-11-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16275
* National Climate Change Technical Specialist,UNCDF,NPSA-10,"Vientiane, Lao People's Democratic Republic","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16207
"* Private Sector Coordination Officer, Asia and the Pacific",UNDP,IPSA-10,"Bangkok, Thailand","Mar-12-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16647
* Warehouse Assistant - RMI GCF Project,UNDP,NPSA-5,"Majuro, Marshall Islands","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16197
* Project Assistant-R2R Project Phase II,UNDP,NPSA-5,"Nuku'Alofa, Tonga","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16286
* Asociado(a) de Proyecto,UNDP,NPSA-7,"Montevideo, Uruguay","Mar-13-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16673
"National Programme Coordinator, Women's Resilience to Disasters / WRD (Open to Fiji Nationals Only)",UNWomen,SB-4,"Suva,  FIJI                          ","Mar-14-24
",External,cj_view_job.cfm?cur_job_id=115531
* National Project Manager for JSB ASEAN,UNDP,NPSA-10,"Jakarta Pusat, Indonesia","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16689
* Technical Associate - Disaster Management,UNDP,NPSA-7,"Mumbai, India","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16685
* Asociado (a) Técnico (a) en Desarrollo Comunitario,UNDP,NPSA-6,"Panama City, Panama","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/15841
* Project Manager,UNDP,NPSA-9,"Khujand, Tajikistan","Mar-14-24
",External,https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/16682
